scenario,n,trial,rank,lambda_min_information,parameter_covered,aligned_sum_width,empty,lower,upper,width,delta_covered,decision,incorrect_claim,sign_error
null,8,58,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,59,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,60,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,61,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,62,1,0.0,0,0.20788557365245158,0,-0.9958200156982241,0.9958200156982241,1.9916400313964482,1,0,0,0
null,8,63,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,64,1,0.0,0,0.20788557365245164,0,-0.9291611442788007,0.9291611442788007,1.8583222885576014,1,0,0,0
null,8,65,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,66,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,67,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,68,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,69,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,70,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,71,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,72,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,73,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,74,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,75,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,76,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,77,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,78,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,79,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,80,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
