scope,task,n_policies,pearson,source_pearson,mmrv,n_pairs,opposite_pairs,tied_pairs,deletion_r_min,deletion_r_max,deletion_r_undefined
all_published_policies,google_robot_pick_coke_can,6,0.9754339787187093,0.9754339621228817,0.03133333333333336,15,3,0,0.9509821266244805,0.9943378735363355,0
all_published_policies,google_robot_move_near,6,0.856096688680937,0.8560966643118902,0.11099999999999999,15,1,0,0.8543487437616519,0.9420161721473855,0
all_published_policies,google_robot_open_drawer,6,0.983166517013375,0.9831664917316731,0.0,15,0,0,0.9797147971086878,0.9964478597585584,0
all_published_policies,google_robot_close_drawer,6,0.7712328353682197,0.7712328181593621,0.12333333333333335,15,3,0,0.7055891113334346,0.8681340307374178,0
all_published_policies,google_robot_place_apple_in_closed_top_drawer,6,0.9691719566996971,0.9691718061432398,0.0,15,0,2,0.9053304820863013,0.9875529912550575,0
all_published_policies,widowx_spoon_on_towel,3,0.8269441624978526,0.826944085833699,0.0,3,0,0,1.0,1.0,0
all_published_policies,widowx_carrot_on_plate,3,0.5713683834061977,0.5713675984545721,0.11133333333333333,3,1,0,-1.0,1.0,0
all_published_policies,widowx_stack_cube,3,1.0,0.9999971428653062,0.0,3,0,1,1.0,1.0,1
all_published_policies,widowx_put_eggplant_in_basket,3,0.9894146488851425,0.9894145664016768,0.0,3,0,0,1.0,1.0,0
public_checkpoint_subset,google_robot_pick_coke_can,5,0.9713469237138714,0.9713469044213068,0.026800000000000025,10,1,0,0.9443813560509396,0.9999593065413434,0
public_checkpoint_subset,google_robot_move_near,5,0.8591170163851871,0.8591169685865919,0.13319999999999999,10,1,0,0.8015124314733323,0.9893668743911052,0
public_checkpoint_subset,google_robot_open_drawer,5,0.9846364097339793,0.9846363836856522,0.0,10,0,0,0.9821924097624175,0.9959460353132276,0
public_checkpoint_subset,google_robot_close_drawer,5,0.8681340307374178,0.8681340091551005,0.10360000000000003,10,2,0,0.6987727174320685,0.9354232010712824,0
public_checkpoint_subset,google_robot_place_apple_in_closed_top_drawer,5,0.9676551102904432,0.9676549525559259,0.0,10,0,2,0.9045340337332909,0.9875860256092399,0
public_checkpoint_subset,widowx_spoon_on_towel,3,0.8269441624978526,0.826944085833699,0.0,3,0,0,1.0,1.0,0
public_checkpoint_subset,widowx_carrot_on_plate,3,0.5713683834061977,0.5713675984545721,0.11133333333333333,3,1,0,-1.0,1.0,0
public_checkpoint_subset,widowx_stack_cube,3,1.0,0.9999971428653062,0.0,3,0,1,1.0,1.0,1
public_checkpoint_subset,widowx_put_eggplant_in_basket,3,0.9894146488851425,0.9894145664016768,0.0,3,0,0,1.0,1.0,0
